user_id,anime_id,rating
1,1,-1
1,2,10
1,3,9
1,4,4
1,5,5
1,6,5
1,7,-1
1,8,-1
1,9,9
1,10,-1
1,11,7
2,1,-1
2,2,6
2,3,-1
2,4,-1
2,5,-1
2,6,9
2,7,-1
2,8,-1
2,9,-1
2,10,-1
2,11,9
3,1,9
3,2,3
3,3,4
3,4,6
3,5,9
3,6,8
3,7,10
3,8,10
3,9,-1
3,10,-1
4,1,6
4,2,-1
4,3,-1
4,4,8
4,5,-1
4,6,-1
4,7,9
4,8,-1
4,9,10
4,10,-1
5,1,-1
5,2,3
5,3,-1
5,4,8
5,5,-1
5,6,-1
5,7,-1
5,8,7
5,9,10
5,10,-1
6,1,9
6,2,6
6,3,2
6,4,8
6,5,2
6,6,1
6,7,0
6,8,4
6,9,3
6,10,-1
7,1,-1
7,2,-1
7,3,6
7,4,-1
7,5,-1
7,6,-1
7,7,1
7,8,-1
7,9,-1
7,10,-1
8,1,-1
8,2,3
8,3,4
8,4,10
8,5,8
8,6,5
8,7,-1
8,8,7
8,9,5
8,10,3
9,1,2
9,2,9
9,3,10
9,4,7
9,5,10
9,6,3
9,7,10
9,8,8
9,9,7
9,10,4
10,1,-1
10,2,6
10,3,5
10,4,7
10,5,2
10,6,4
10,7,1
10,8,-1
10,9,6
10,10,3
10,11,10
